2021,Zsigmond,Fleiner,7,0,0,0,7,0,14,218,64.89%,Bronze,medal
2021,Erik,Füredi,7,0,0,0,7,4,18,156,74.92%,Bronze,medal
2021,Tamás,,Kovács,7,4,0,0,7,0,18,156,74.92%,Bronze,medal
2021,Kornél,György,Szabó,7,2,0,0,7,0,16,167,73.14%,Bronze,medal
2021,Zsombor,Várkonyi,7,7,1,0,7,0,22,63,89.97%,Silver,medal
2021,Nóra,Zoé,Velich,6,0,0,7,0,0,13,268,56.80%,Bronze,medal
2020,Csongor,Beke,7,3,7,7,7,1,32,34,94.63%,Gold,medal
2020,Péter,Gyimesi,7,0,0,7,7,1,22,181,70.73%,Bronze,medal
2020,Anett,Kocsis,7,0,7,7,1,0,22,181,70.73%,Bronze,medal
2020,Nándor,Nagy,7,0,0,7,0,1,15,294,52.36%,Bronze,medal
2020,Balázs,Tóth,7,2,6,7,7,7,36,4,99.51%,Gold,medal
2020,Máté,Barnabás,Weisz,7,7,4,7,7,1,33,22,96.59%,Gold,medal
2019,Milan,Haiman,7,6,6,7,7,7,40,8,98.87%,Gold,medal
2019,Dávid,Matolcsi,7,4,0,7,7,0,25,132,78.87%,Silver,medal
2019,Nándor,Nagy,7,1,0,7,7,0,22,168,73.06%,Bronze,medal
2019,Jakab,Schrettner,6,7,0,7,7,0,27,101,83.87%,Silver,medal
2019,Kristóf,Szabó,7,1,1,7,7,0,23,147,76.45%,Bronze,medal
2019,Bálint,Zsigri,7,0,7,7,7,0,28,65,89.68%,Silver,medal
2018,Balázs,Bukva,7,7,0,7,7,1,29,61,89.88%,Silver,medal
2018,Máté,Egri,7,4,0,6,7,0,24,147,75.38%,Bronze,medal
2018,Attila,Gáspár,7,7,0,7,1,7,29,61,89.88%,Silver,medal
2018,András,Imolay,7,7,0,7,7,0,28,87,85.50%,Silver,medal
2018,Orsolya,Lili,Janzer,7,2,2,7,7,1,26,122,79.60%,Silver,medal
2018,Dávid,Matolcsi,7,1,0,7,6,0,21,193,67.62%,Bronze,medal
