2021,Paulius,,Aleknavičius,7,0,0,0,7,0,14,218,64.89%,Bronze,medal
2021,Modestas,Gujis,4,0,0,0,2,0,6,415,33.01%
2021,Gabrielius,Gvazdauskas,0,0,0,0,0,0,0,533,13.92%
2021,Aldas,Lenkšas,2,1,0,0,0,0,3,459,25.89%
2021,Benas,,Raišutis,4,0,0,2,0,0,6,415,33.01%
2021,Eligijus,,Žemulis,2,0,0,0,0,0,2,470,24.11%
2020,Mantas,Bakšys,7,0,0,3,0,0,10,384,37.72%,Honourable,mention
2020,Juozapas,Ivanauskas,7,0,0,7,0,0,14,317,48.62%,Honourable,mention
2020,Dominykas,Marma,7,2,0,7,7,0,23,162,73.82%,Bronze,medal
2020,Aleksandras,Melnik,7,0,0,4,7,0,18,248,59.84%,Bronze,medal
2020,Matas,Urbonas,7,7,0,4,0,0,18,248,59.84%,Bronze,medal
2020,Dovydas,Vadišius,0,0,4,7,0,0,11,371,39.84%,Honourable,mention
2019,Juozapas,Ivanauskas,7,1,0,1,2,0,11,386,37.90%,Honourable,mention
2019,Dominykas,Marma,7,0,0,7,2,0,16,303,51.29%,Honourable,mention
2019,Alina,Paliulionytė,7,1,0,7,2,0,17,275,55.81%,Bronze,medal
2019,Julija,Paliulionytė,7,1,0,7,2,0,17,275,55.81%,Bronze,medal
2019,Ernestas,Ramanauskas,7,0,0,7,7,0,21,214,65.65%,Bronze,medal
2019,Matas,Urbonas,7,1,0,6,0,0,14,345,44.52%,Honourable,mention
2018,Neringa,Levinskaitė,7,1,0,2,1,0,11,350,41.15%,Honourable,mention
2018,Dominykas,Marma,7,1,0,7,1,0,16,271,54.47%,Bronze,medal
2018,Vilandas,Navickas,7,5,0,2,1,0,15,290,51.26%,Honourable,mention
2018,Alina,Paliulionytė,0,1,0,2,1,0,4,470,20.91%
2018,Julija,Paliulionytė,7,0,0,7,1,0,15,290,51.26%,Honourable,mention
2018,Ernestas,Ramanauskas,7,2,0,0,7,0,16,271,54.47%,Bronze,medal
2017,Zigmas,Bitinas,7,3,0,7,0,0,17,188,69.54%,Bronze,medal
2017,Justas,Janickas,6,1,0,2,0,0,9,471,23.45%
2017,Aurimas,Klimašauskas,7,0,0,1,0,0,8,497,19.22%,Honourable,mention
2017,Neringa,Levinskaitė,7,1,0,1,0,0,9,471,23.45%,Honourable,mention
2017,Jonas,Pukšta,7,1,0,7,1,0,16,265,57.00%,Bronze,medal
2017,Ernestas,Ramanauskas,7,1,0,2,0,0,10,457,25.73%,Honourable,mention
2016,Antanas,Kalkauskas,7,2,0,7,2,0,18,206,65.89%,Bronze,medal
2016,Neringa,Levinskaitė,7,0,0,7,0,0,14,312,48.25%,Honourable,mention
2016,Deividas,Morkūnas,7,2,0,7,0,0,16,253,58.07%,Bronze,medal
2016,Andrius,Ovsianas,7,0,0,5,0,0,12,368,38.94%,Honourable,mention
2016,Jonas,Pukšta,7,5,0,4,0,0,16,253,58.07%,Bronze,medal
2016,Ernestas,Ramanauskas,1,0,0,7,0,0,8,429,28.79%,Honourable,mention
2015,Paulius,Ašvydis,4,1,0,1,0,0,6,431,25.35%
2015,Pol,Maksim,Bovarov,4,0,0,0,1,0,5,449,22.22%
2015,Domantas,Jadenkus,5,1,0,0,0,0,6,431,25.35%
2015,Deividas,Morkūnas,6,0,0,2,1,0,9,365,36.81%
2015,Andrius,Ovsianas,7,0,0,7,1,0,15,217,62.50%,Bronze,medal
2015,Jonas,Pukšta,4,1,0,7,1,0,13,283,51.04%,Honourable,mention
2014,Mykolas,Blažonis,7,0,1,7,1,0,16,267,52.42%,Bronze,medal
2014,Lukas,Jonuška,7,7,0,7,0,0,21,163,71.02%,Bronze,medal
2014,Aidas,Kilda,7,3,0,7,2,0,19,221,60.64%,Bronze,medal
2014,Justas,Klimavičius,7,0,0,1,0,0,8,421,24.87%,Honourable,mention
2014,Jonas,Pukšta,7,0,0,7,1,0,15,296,47.23%,Honourable,mention
2014,Ignas,Urbonavičius,5,7,0,7,6,0,25,95,83.18%,Silver,medal
2013,Mykolas,Blažonis,7,2,1,7,0,0,17,211,60.08%,Bronze,medal
2013,Arnas,Gerčas,1,0,0,7,1,0,9,335,36.50%,Honourable,mention
2013,Matas,Grigaliūnas,7,1,0,1,0,0,9,335,36.50%,Honourable,mention
2013,Marius,Latinis,7,0,0,7,1,0,15,250,52.66%,Bronze,medal
2013,Ignas,Urbonavičius,7,5,0,1,7,0,20,180,65.97%,Bronze,medal
2013,Tomas,Vaškevičius,7,1,0,0,0,0,8,355,32.70%,Honourable,mention
2012,Mykolas,Blažonis,1,0,0,3,0,0,4,465,15.02%
2012,Justinas,Česonis,7,7,0,2,0,0,16,204,62.82%,Bronze,medal
2012,Arnas,Gerčas,7,1,0,7,0,0,15,229,58.24%,Bronze,medal
2012,Linas,Klimavičius,7,7,0,2,4,0,20,140,74.54%,Bronze,medal
2012,Marius,Latinis,7,0,0,2,0,0,9,373,31.87%,Honourable,mention
2012,Ignas,Urbonavičius,3,0,0,2,0,0,5,450,17.77%
2011,Ana,Daglis,7,0,0,1,1,0,9,378,32.92%,Honourable,mention
2011,Elena,Dulskytė,7,1,0,7,1,0,16,253,55.16%,Bronze,medal
2011,Linas,Klimavičius,7,0,2,7,4,0,20,171,69.75%,Bronze,medal
2011,Edvard,Poliakov,7,0,0,7,2,0,16,253,55.16%,Bronze,medal
2011,Motiejus,Valiūnas,7,1,0,7,3,0,18,202,64.23%,Bronze,medal
2011,Paulius,Virbalas,7,0,0,0,1,0,8,402,28.65%,Honourable,mention
2010,Benas,Bačanskas,7,1,0,0,0,0,8,401,23.22%,Honourable,mention
2010,Elena,Dulskytė,4,6,0,7,0,0,17,187,64.30%,Bronze,medal
2010,Paulius,Kantautas,7,0,0,7,1,0,15,226,56.81%,Bronze,medal
2010,Linas,Klimavičius,7,7,0,7,1,0,22,76,85.60%,Silver,medal
2010,Greta,Kuprijanovaitė,4,7,2,7,0,0,20,151,71.21%,Bronze,medal
2010,Lukas,Melninkas,2,0,0,7,1,0,10,366,29.94%,Honourable,mention
2009,Rolandas,Glotnis,1,1,0,0,0,0,2,482,14.72%
2009,Vaidotas,Juronis,7,6,2,5,7,0,27,101,82.27%,Silver,medal
2009,Paulius,Kantautas,7,0,0,0,1,0,8,376,33.51%,Honourable,mention
2009,Linas,Klimavičius,7,5,0,1,0,0,13,283,50.00%,Honourable,mention
2009,Greta,Kuprijanovaitė,7,2,0,5,6,0,20,190,66.49%,Bronze,medal
2009,Edvard,Poliakov,7,0,0,0,0,0,7,393,30.50%,Honourable,mention
2008,Vytautas,Gruslys,7,5,0,7,7,0,26,78,85.58%,Silver,medal
2008,Julius,Jonušas,7,1,0,0,0,0,8,368,31.27%,Honourable,mention
2008,Vaidotas,Juronis,7,1,0,4,0,0,12,297,44.57%,Honourable,mention
2008,Vaidotas,Kurlianskas,5,5,0,7,1,0,18,186,65.36%,Bronze,medal
2008,Jonas,Pauliukevičius,7,2,0,4,0,0,13,284,47.00%,Honourable,mention
2008,Gytis,Žilinskas,7,1,0,6,1,0,15,238,55.62%,Bronze,medal
2007,Aistis,Atminas,7,1,0,7,1,0,16,171,67.24%,Bronze,medal
2007,Kęstutis,Česnavičius,7,7,0,7,7,1,29,28,94.80%,Gold,medal
2007,Vytautas,Gruslys,7,1,0,7,1,0,16,171,67.24%,Bronze,medal
2007,Vaidotas,Juronis,6,0,0,6,0,0,12,266,48.94%
2007,Laurynas,Mikšys,1,0,0,6,1,0,8,365,29.87%
2007,Gytis,Žilinskas,3,0,1,7,0,0,11,293,43.74%,Honourable,mention
