2021,Yusuf,Kağan,Çiçekdağ,7,0,1,7,0,0,15,180,71.04%,Bronze,medal
2021,Ömer,Faruk,Erzurumluoğlu,7,0,1,7,7,1,23,53,91.59%,Silver,medal
2021,Barış,Koyuncu,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2021,Burak,Buğra,Önder,7,0,0,7,2,0,16,167,73.14%,Bronze,medal
2021,Hayrettin,Eren,Yıldız,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2021,Şevket,Onur,Yılmaz,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2020,Yusuf,Kağan,Çiçekdağ,7,7,0,7,7,0,28,86,86.18%,Silver,medal
2020,Ahmed,Said,Gençkol,7,2,7,7,7,0,30,50,92.03%,Silver,medal
2020,Ahmet,Çağdaş,Girit,7,2,0,7,5,0,21,206,66.67%,Bronze,medal
2020,Mehmet,Koca,7,2,0,7,7,0,23,162,73.82%,Bronze,medal
2020,Emirhan,Yağcıoğlu,7,2,0,7,1,0,17,262,57.56%,Bronze,medal
2020,Hayrettin,Eren,Yıldız,7,0,0,7,7,0,21,206,66.67%,Bronze,medal
2019,İbrahim,Suat,Evren,7,7,3,7,7,0,31,48,92.42%,Gold,medal
2019,Halil,Alperen,Gözeten,7,7,0,7,2,0,23,147,76.45%,Bronze,medal
2019,Hakan,Karakuş,3,6,0,7,7,0,23,147,76.45%,Bronze,medal
2019,Ozan,Kaymak,7,1,0,7,7,2,24,143,77.10%,Silver,medal
2019,Enes,Özdemir,7,2,0,1,2,0,12,376,39.52%,Honourable,mention
2019,Halil,Özkan,7,0,1,7,7,0,22,168,73.06%,Bronze,medal
2018,Halil,Alperen,Gözeten,7,7,0,2,7,0,23,157,73.69%,Bronze,medal
2018,Özgen,Şafak,Karakuş,7,2,0,6,1,1,17,250,58.01%,Bronze,medal
2018,Nurullah,Giray,Kuru,7,7,7,2,7,1,31,34,94.44%,Gold,medal
2018,Halil,Özkan,7,7,0,7,2,0,23,157,73.69%,Bronze,medal
2018,Ömer,Topaloğlu,7,3,0,7,2,0,19,215,63.91%,Bronze,medal
2018,Mehmet,Ali,Yıldırım,7,4,0,7,7,0,25,131,78.08%,Silver,medal
2017,İlker,Can,Çiçek,7,4,0,7,2,0,20,103,83.39%,Silver,medal
2017,Onur,Korkmaz,7,3,0,7,0,1,18,139,77.52%,Bronze,medal
2017,Nurullah,Giray,Kuru,7,3,0,7,1,0,18,139,77.52%,Bronze,medal
2017,Ahmet,Alper,Özüdoğru,7,0,0,7,0,0,14,342,44.46%,Honourable,mention
2017,Mehmet,Selahaddin,Şentop,5,2,0,7,1,0,15,292,52.61%,Honourable,mention
2017,Kayra,Uygun,7,3,0,7,0,0,17,188,69.54%,Bronze,medal
2016,İhsan,Mert,Atalay,7,2,0,7,0,1,17,224,62.90%,Bronze,medal
2016,Eray,Ünsal,Atay,7,3,0,7,2,0,19,184,69.55%,Bronze,medal
2016,Ömer,Avcı,7,1,0,7,1,0,16,253,58.07%,Bronze,medal
2016,Feyza,Duman,7,1,0,7,2,3,20,169,72.05%,Bronze,medal
2016,Ahmet,İleri,7,7,1,7,2,0,24,94,84.53%,Silver,medal
2016,Onur,Sulak,7,7,0,7,4,0,25,78,87.19%,Silver,medal
